what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701664170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701664879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701735041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353701738948
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353701742028
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353701742523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701742782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701743023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353701748946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353701750524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353701754110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353701759449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701775566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701805455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353701808116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701812190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353701813390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353701827553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353701829083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353701842035
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353701850134
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353701859478
