what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698514386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698517904
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698518056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698530230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698630416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698635269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698846101
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698850775
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698858526
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698866925
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698890562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353698895092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353698981609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353698984316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353698986978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353698990071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353698994054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353698997193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699043986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699047059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699088128
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353699092594
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353699093238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699094061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699094319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353699111734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353699116294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699177290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699239806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699241254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699258823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699260427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699275960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699276772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699278150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699302047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699304290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699489459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699491101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699505809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699507130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699582124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699590699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699591643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699594267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699595512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699596575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699639703
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353699646971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699647749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699648088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699656966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699658013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699658639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699669270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699670865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699686461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699702729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699704476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699704819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353699718590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353699722210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699768592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353699772771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353699775221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699803909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699806800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353699808720
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353699870798
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353699871495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699872916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699877840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699878421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699879365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699879781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353699886803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353699902984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353699906462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353699912714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353699931079
