what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696837929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696838068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696839310
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353696842813
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696843895
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696844718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353696848695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353696851237
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696851863
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353696853747
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353696859032
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696859273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696880386
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353696883060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696888691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696889672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696907189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696915706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696918763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353696922198
